title,start_date,when,address,link,description,venue_name,venue_rating,venue_reviews
NoWay! Comedy Festival,Oct 12,"Sat, Oct 12, 3 PM GMT+5:30","Airia Mall, Sector 68, Gurugram, Haryana, India",https://www.stubhub.com/no-way-gurugram-tickets-10-12-2024/event/155430209/,,Airia Mall,4.5,12502
NoWay! Comedy Festival,Oct 13,"Sun, Oct 13, 3 PM GMT+5:30","Airia Mall, Sector 68, Gurugram, Haryana, India",https://www.stubhub.com/no-way-gurugram-tickets-10-13-2024/event/155430039/,,Airia Mall,4.5,12502
No Way! Comedy Festival,Oct 11,"Fri, Oct 11, 3 PM GMT+5:30","Airia Mall, Sector 68, Gurugram, Haryana, India",https://www.stubhub.ca/no-way-tickets/performer/150395959,,Airia Mall,4.5,12502
Nishant Suri Live - A standup comedy solo show,Oct 12,"Sat, Oct 12, 9:30 PM GMT+5:30","Shop No 4D, Ground Floor, The Laugh Store: DLF Cyberhub, Tower 8 C, DLF Cyber City, Gurugram, Haryana, India",https://in.bookmyshow.com/events/nishant-suri-live-a-standup-solo-show/ET00335818,"Book online tickets for Nishant Suri Live - A standup solo show in Delhi-NCR on BookMyShow which is a comedy-shows event. happening at The Laugh Store: DLF Cyberhub, Gurugram",The Laugh Store: DLF Cyberhub,4.6,67
Durga Puja and Dusshera Celebrations at Astaire Gardens,Oct 10,"Thu, Oct 10, 11:30 AM – Sun, Oct 13, 5:30 PM GMT+5:30","BPTP Astaire Gardens, E block, Off, Southern Peripheral Rd, Sector 70A, Gurugram, Haryana, India",https://www.facebook.com/events/bptp-astaire-gardens/durga-puja-and-dusshera-celebrations-at-astaire-gardens/2015123228923007/,"Dear fellow residents, We are excited to invite you and your family to our first Durga Puja and Dusshera celebrations at Astaire Gardens. Join us from October 10th to 13th, 2024 for. an exciting...","BPTP Astaire Gardens, E block",4.4,297
Health and Beauty Expo Gurgaon,Oct 12,"Sat, Oct 12, 8:53 PM – Mon, Oct 14, 8:53 PM GMT+5:30","Plaza Mall, Mehrauli-Gurgaon Rd, Indian Airlines Pilots Society, Sushant Lok Phase I, Sector, Gurugram, Haryana, India",https://www.eworldtrade.com/events/health-and-beauty-expo-gurgaon/,"Health and Beauty Expo Gurgaon 2023 happens in Gurgaon, India Oct, 2023 focus on Pharmaceuticals. The cycle of the trade fair is , organize by Health and Beauty Expo at Gurgaon MGF The Plaza Mall.",Plaza Mall,4.0,2481
NAVRATRI MAHOTSAV 2024,Oct 9,"Oct 3, 8 PM – Oct 11, 11 PM GMT+5:30","Royal swan banquet, near marble market, Sector 33, Gurugram, Haryana, India",https://m.facebook.com/events/517992364501821/?ref_source=newsfeed&ref_mechanism=feed_attachment&action_context=%257B%2522action_history%2522%253A%2522null%2522%257D,"Religion event in Gurugram, India by Shree Gujarati Samaj Gurgaon - Registered on Thursday, October 3 2024",Royal swan banquet,4.3,384
Comedy Nights at Cup of Joy,Oct 11,"Fri, Oct 11, 8 PM GMT+5:30","Cup of Joy, Sector 62, Gurugram, Haryana, India",https://www.stubhub.com/comedy-nights-gurugram-tickets-10-11-2024/event/155420544/,,Cup of Joy,4.9,124
The Great Gurgaon Diwali Carnival,Oct 9,"Oct 6, 11:00 PM – Nov 2, 9:30 PM GMT+5:30","Backyard Sports Club, Backyard sports club India, near, golf course ext road, next to cyberscape corporate building, Sector 59, Gurugram, Haryana, India",https://insider.in/the-great-gurgaon-diwali-carnival-oct6-2024/event,"""🌟 The Great Gurgaon Diwali Carnival at Backyard Sports Club 🌟Join us for a month-long celebration of lights, fun, and festive vibes from 6th October to 2nd November at the Backyard Sports Club...",Backyard Sports Club,4.3,1393
Mid-Night Comedy,Oct 10,"Thu, Oct 10, 11:30 PM GMT+5:30","S-14, Second Floor, The Comedy Theatre, Central Plaza Mall, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana, India",https://www.stubhub.com/mid-night-comedy-gurugram-tickets-10-10-2024/event/155481682/,,The Comedy Theatre,4.5,217
