Trends,Search volume,Started,Ended,Trend breakdown,Explore link
wheelchair tennis paralympics,200K+,"September 3, 2024 at 12:00:00 AM UTC+5:30",,"wheelchair tennis paralympics,wheelchair tennis paralympics 2024,paralympic tennis 2024,paralympics tennis players",https://trends.google.com/trends/explore?q=wheelchair%20tennis%20paralympics&geo=IN&hl=en
weather,500K+,"September 3, 2024 at 6:40:00 AM UTC+5:30",,weather,https://trends.google.com/trends/explore?q=weather&geo=IN&hl=en
jasdeep singh gill,100K+,"September 2, 2024 at 1:50:00 PM UTC+5:30",,"jasdeep singh gill,rssb,jasdeep singh gill rssb,jasdeep singh radha soami satsang beas,radha soami,radha soami satsang jasdeep singh gill,jasdeep singh gill dera beas,gurinder singh dhillon,rssb news,radha soami baba ji,dera beas,radha soami satsang beas,sukhdev singh gill,dera beas news,gurinder singh,baba gurinder singh ji,patron,baba gurinder singh,jasdeep singh gill radha soami,radha soami news,radha soami satsang,rssb satsang,rssb latest news,rssb news today,cipla,jasdeep singh gill beas,s jasdeep singh gill,who is jasdeep singh gill",https://trends.google.com/trends/explore?q=jasdeep%20singh%20gill&geo=IN&hl=en
aap mla amanatullah khan,20K+,"September 2, 2024 at 8:50:00 PM UTC+5:30",,"aap mla amanatullah khan,amanatullah khan aap mla,amanatullah khan",https://trends.google.com/trends/explore?q=aap%20mla%20amanatullah%20khan&geo=IN&hl=en
ap dhillon,20K+,"September 2, 2024 at 4:40:00 PM UTC+5:30",,"ap dhillon,lawrence bishnoi,a p dhillon,goldy brar",https://trends.google.com/trends/explore?q=ap%20dhillon&geo=IN&hl=en
tata curvv petrol,20K+,"September 2, 2024 at 1:30:00 PM UTC+5:30",,"tata curvv petrol,curvv,tata curvv price,curvv price,tata curvv petrol price,tata,tata curvv.ev,tata curvv ice,tata motors,tata curvv ev",https://trends.google.com/trends/explore?q=tata%20curvv%20petrol&geo=IN&hl=en
samitha dulan,20K+,"September 2, 2024 at 10:30:00 PM UTC+5:30",,samitha dulan,https://trends.google.com/trends/explore?q=samitha%20dulan&geo=IN&hl=en
rrb ntpc,50K+,"September 2, 2024 at 12:00:00 PM UTC+5:30",,"rrb ntpc,ntpc,railway ntpc,rrb,railway rrb ntpc,ntpc recruitment 2024,railway recruitment 2024,ntpc notification 2024,ntpc recruitment",https://trends.google.com/trends/explore?q=rrb%20ntpc&geo=IN&hl=en
ic 814 kandahar hijacking netflix,10K+,"September 3, 2024 at 5:00:00 AM UTC+5:30",,"ic 814 kandahar hijacking netflix,kandahar hijacking ic 814,ic 814 hijackers,delhi high court,ic 814 kandahar hijack,kandahar hijack movie",https://trends.google.com/trends/explore?q=ic%20814%20kandahar%20hijacking%20netflix&geo=IN&hl=en
bjp membership,10K+,"September 2, 2024 at 5:20:00 PM UTC+5:30",,"bjp membership,bjp membership card,bharatiya janata party membership,bjp membership number",https://trends.google.com/trends/explore?q=bjp%20membership&geo=IN&hl=en
rrb ntpc notification 2024,10K+,"September 2, 2024 at 12:10:00 PM UTC+5:30",,"rrb ntpc notification 2024,ntpc notification",https://trends.google.com/trends/explore?q=rrb%20ntpc%20notification%202024&geo=IN&hl=en
rrb ntpc notification,10K+,"September 2, 2024 at 12:30:00 PM UTC+5:30",,rrb ntpc notification,https://trends.google.com/trends/explore?q=rrb%20ntpc%20notification&geo=IN&hl=en
gala precision engineering,20K+,"September 2, 2024 at 8:00:00 AM UTC+5:30",,"gala precision engineering,gala precision engineering ipo gmp,gala precision engineering ipo gmp today,gala precision engineering limited ipo gmp",https://trends.google.com/trends/explore?q=gala%20precision%20engineering&geo=IN&hl=en
boss packaging solutions ipo gmp,5K+,"September 2, 2024 at 8:40:00 AM UTC+5:30",,boss packaging solutions ipo gmp,https://trends.google.com/trends/explore?q=boss%20packaging%20solutions%20ipo%20gmp&geo=IN&hl=en
deepika padukone,20K+,"September 2, 2024 at 6:40:00 PM UTC+5:30",,deepika padukone,https://trends.google.com/trends/explore?q=deepika%20padukone&geo=IN&hl=en
deepthi jeevanji,5K+,"September 2, 2024 at 11:20:00 PM UTC+5:30",,deepthi jeevanji,https://trends.google.com/trends/explore?q=deepthi%20jeevanji&geo=IN&hl=en
japanese man sleeps 30 minutes,2K+,"September 3, 2024 at 6:20:00 AM UTC+5:30",,japanese man sleeps 30 minutes,https://trends.google.com/trends/explore?q=japanese%20man%20sleeps%2030%20minutes&geo=IN&hl=en
sharad kumar,5K+,"September 2, 2024 at 6:00:00 PM UTC+5:30",,sharad kumar,https://trends.google.com/trends/explore?q=sharad%20kumar&geo=IN&hl=en
rawalpindi weather,20K+,"September 2, 2024 at 9:20:00 AM UTC+5:30",,"rawalpindi weather,rawalpindi cricket stadium weather,rawalpindi weather today,pakistan national cricket team vs bangladesh national cricket team timeline,where to watch pakistan national cricket team vs bangladesh national cricket team",https://trends.google.com/trends/explore?q=rawalpindi%20weather&geo=IN&hl=en
rpsc,10K+,"September 2, 2024 at 8:20:00 PM UTC+5:30",,rpsc,https://trends.google.com/trends/explore?q=rpsc&geo=IN&hl=en
sandip ghosh,20K+,"September 2, 2024 at 8:20:00 PM UTC+5:30",,"sandip ghosh,sandeep ghosh,sandip ghosh arrested,sandip ghosh news,sandip ghosh arrest,rg kar news,sandeep ghosh arrested,sandip ghosh rg kar,sandeep ghosh news",https://trends.google.com/trends/explore?q=sandip%20ghosh&geo=IN&hl=en
prakasam barrage,5K+,"September 2, 2024 at 9:00:00 AM UTC+5:30",,prakasam barrage,https://trends.google.com/trends/explore?q=prakasam%20barrage&geo=IN&hl=en
premier energies share price,20K+,"September 2, 2024 at 9:10:00 AM UTC+5:30",,"premier energies share price,premier energies ipo,premier energies listing date,premier energies,grey market premium,ipo gmp today,premier energies ipo listing,premier energy listing date,premier energy share price,premier energies limited,premier energies limited share price,premier energies listing",https://trends.google.com/trends/explore?q=premier%20energies%20share%20price&geo=IN&hl=en
baazar style retail ipo gmp,10K+,"September 2, 2024 at 8:10:00 AM UTC+5:30",,"baazar style retail ipo gmp,baazar style ipo,baazar style ipo gmp,bazaar style ipo gmp today,gmp ipo,baazar style retail limited",https://trends.google.com/trends/explore?q=baazar%20style%20retail%20ipo%20gmp&geo=IN&hl=en
coolie rajinikanth,5K+,"September 2, 2024 at 11:40:00 PM UTC+5:30",,"coolie rajinikanth,shruti haasan,coolie rajini,coolie,lokesh kanagaraj",https://trends.google.com/trends/explore?q=coolie%20rajinikanth&geo=IN&hl=en
suhas yathiraj,10K+,"September 2, 2024 at 5:40:00 PM UTC+5:30",,"suhas yathiraj,nitesh kumar badminton,nitish kumar paralympics,sukant kadam,nitesh kumar,nitish kumar badminton,gold,nitesh kumar para badminton,yathiraj",https://trends.google.com/trends/explore?q=suhas%20yathiraj&geo=IN&hl=en
